experiment_id,trial,lr,weight_decay,best_val_acc,dev_best_epoch,head_type,augmentation_preset,config_path,checkpoint_path
E0,lr_5e-03__wd_1e-04,0.005,0.0001,0.6985962831158561,36,linear,a0,outputs/e0/search/generated_configs/lr_5e-03__wd_1e-04.yaml,outputs/e0/search/lr_5e-03__wd_1e-04/checkpoints/best.pt
E0,lr_3e-03__wd_1e-04,0.003,0.0001,0.6922696718070384,35,linear,a0,outputs/e0/search/generated_configs/lr_3e-03__wd_1e-04.yaml,outputs/e0/search/lr_3e-03__wd_1e-04/checkpoints/best.pt
E0,lr_1e-03__wd_1e-04,0.001,0.0001,0.6110122578094108,19,linear,a0,outputs/e0/search/generated_configs/lr_1e-03__wd_1e-04.yaml,outputs/e0/search/lr_1e-03__wd_1e-04/checkpoints/best.pt
E0,lr_1e-03__wd_1e-05,0.001,1e-05,0.6109134045077106,20,linear,a0,outputs/e0/search/generated_configs/lr_1e-03__wd_1e-05.yaml,outputs/e0/search/lr_1e-03__wd_1e-05/checkpoints/best.pt
E0,lr_1e-03__wd_1e-03,0.001,0.001,0.6109134045077106,20,linear,a0,outputs/e0/search/generated_configs/lr_1e-03__wd_1e-03.yaml,outputs/e0/search/lr_1e-03__wd_1e-03/checkpoints/best.pt
E0,lr_5e-04__wd_1e-05,0.0005,1e-05,0.5537761961249505,19,linear,a0,outputs/e0/search/generated_configs/lr_5e-04__wd_1e-05.yaml,outputs/e0/search/lr_5e-04__wd_1e-05/checkpoints/best.pt
E0,lr_5e-04__wd_1e-04,0.0005,0.0001,0.5537761961249505,19,linear,a0,outputs/e0/search/generated_configs/lr_5e-04__wd_1e-04.yaml,outputs/e0/search/lr_5e-04__wd_1e-04/checkpoints/best.pt
E0,lr_5e-04__wd_1e-03,0.0005,0.001,0.5536773428232503,20,linear,a0,outputs/e0/search/generated_configs/lr_5e-04__wd_1e-03.yaml,outputs/e0/search/lr_5e-04__wd_1e-03/checkpoints/best.pt
E0,lr_1e-04__wd_1e-05,0.0001,1e-05,0.46194147884539344,20,linear,a0,outputs/e0/search/generated_configs/lr_1e-04__wd_1e-05.yaml,outputs/e0/search/lr_1e-04__wd_1e-05/checkpoints/best.pt
E0,lr_1e-04__wd_1e-04,0.0001,0.0001,0.46194147884539344,20,linear,a0,outputs/e0/search/generated_configs/lr_1e-04__wd_1e-04.yaml,outputs/e0/search/lr_1e-04__wd_1e-04/checkpoints/best.pt
E0,lr_1e-04__wd_1e-03,0.0001,0.001,0.46194147884539344,16,linear,a0,outputs/e0/search/generated_configs/lr_1e-04__wd_1e-03.yaml,outputs/e0/search/lr_1e-04__wd_1e-03/checkpoints/best.pt
