epoch,train_loss,train_acc,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,1.865452,0.152073,0.00250000,0.00000000,0.009111,0.000000,137.72
2,1.388394,0.395284,0.00500000,0.00000000,0.031213,0.000000,143.65
3,0.946285,0.581706,0.00499470,0.00000000,0.036046,0.000000,143.88
4,0.791354,0.630988,0.00497883,0.00000000,0.034277,0.000000,148.68
5,0.713281,0.656974,0.00495244,0.00000000,0.032911,0.000000,145.29
6,0.656642,0.674380,0.00491567,0.00000000,0.031827,0.000000,145.28
7,0.615815,0.688397,0.00486865,0.00000000,0.031081,0.000000,143.32
8,0.590609,0.697657,0.00481160,0.00000000,0.030270,0.000000,143.21
9,0.574559,0.703744,0.00474476,0.00000000,0.029541,0.000000,141.91
10,0.540215,0.717328,0.00466841,0.00000000,0.029069,0.000000,143.70
11,0.516228,0.727523,0.00458289,0.00000000,0.028693,0.000000,144.01
12,0.505715,0.731454,0.00448855,0.00000000,0.028204,0.000000,142.79
13,0.497430,0.734823,0.00438580,0.00000000,0.027726,0.000000,143.78
14,0.481497,0.741974,0.00427509,0.00000000,0.027300,0.000000,143.35
15,0.475186,0.744654,0.00415688,0.00000000,0.027042,0.000000,141.99
16,0.470612,0.747205,0.00403168,0.00000000,nan,0.000000,144.02
17,0.457610,0.751973,0.00390004,0.00000000,0.026462,0.000000,144.39
18,0.448716,0.757558,0.00376250,0.00000000,0.026171,0.000000,144.12
19,0.434855,0.763281,0.00361966,0.00000000,nan,0.000000,142.60
20,0.441973,0.760907,0.00347214,0.00000000,nan,0.000000,143.36
21,0.433347,0.764739,0.00332056,0.00000000,0.025437,0.000000,151.91
22,0.420956,0.769526,0.00316558,0.00000000,0.025194,0.000000,145.85
23,0.414484,0.773398,0.00300785,0.00000000,0.025079,0.000000,147.26
24,0.417900,0.772048,0.00284805,0.00000000,0.024940,0.000000,150.71
25,0.411064,0.777466,0.00268687,0.00000000,0.024647,0.000000,150.41
26,0.405428,0.780293,0.00252500,0.00000000,nan,0.000000,149.02
27,0.400153,0.779436,0.00236313,0.00000000,0.024451,0.000000,149.96
28,0.397779,0.782775,0.00220195,0.00000000,0.024266,0.000000,150.91
29,0.393492,0.785415,0.00204215,0.00000000,nan,0.000000,146.97
30,0.394969,0.783642,0.00188442,0.00000000,0.024058,0.000000,148.49
31,0.397928,0.782174,0.00172944,0.00000000,0.023994,0.000000,146.16
32,0.394539,0.786253,0.00157786,0.00000000,nan,0.000000,148.53
33,0.385997,0.789336,0.00143034,0.00000000,nan,0.000000,145.01
34,0.386657,0.789316,0.00128750,0.00000000,0.023711,0.000000,149.97
35,0.381692,0.790262,0.00114996,0.00000000,0.023586,0.000000,145.68
36,0.374522,0.792232,0.00101832,0.00000000,0.023447,0.000000,150.33
37,0.388504,0.788528,0.00089312,0.00000000,0.023408,0.000000,148.77
38,0.382766,0.790804,0.00077491,0.00000000,0.023324,0.000000,150.11
39,0.381599,0.793079,0.00066420,0.00000000,nan,0.000000,143.99
40,0.382546,0.791887,0.00056145,0.00000000,nan,0.000000,144.86
41,0.373726,0.796271,0.00046711,0.00000000,0.023278,0.000000,144.51
42,0.369546,0.796458,0.00038159,0.00000000,0.023186,0.000000,145.08
43,0.359992,0.800743,0.00030524,0.00000000,0.023218,0.000000,149.14
44,0.375259,0.793877,0.00023840,0.00000000,0.023109,0.000000,147.92
45,0.363147,0.798773,0.00018135,0.00000000,0.023136,0.000000,151.04
46,0.374905,0.795000,0.00013433,0.00000000,0.023082,0.000000,150.88
47,0.372169,0.795906,0.00009756,0.00000000,nan,0.000000,150.10
48,0.365843,0.798714,0.00007117,0.00000000,0.023111,0.000000,146.34
49,0.372065,0.794251,0.00005530,0.00000000,0.023055,0.000000,147.73
50,0.370463,0.797551,0.00005000,0.00000000,nan,0.000000,148.57
