epoch,train_loss,train_acc,raw_val_loss,raw_val_acc,ema_val_loss,ema_val_acc,ema_num_updates,head_lr,backbone_lr,head_grad_norm,backbone_grad_norm,epoch_time
1,5.723115,0.204202,4.849045,0.370396,,,0,0.00250000,0.00000000,0.125833,0.000000,138.94
2,3.789357,0.461330,2.943918,0.529081,,,0,0.00500000,0.00000000,0.120488,0.000000,144.11
3,2.445618,0.585083,2.214977,0.600814,,,0,0.00499470,0.00000000,0.106578,0.000000,146.28
4,1.953804,0.636224,1.931407,0.625436,,,0,0.00497883,0.00000000,0.096949,0.000000,150.54
5,1.718163,0.664821,1.776432,0.641528,,,0,0.00495244,0.00000000,0.091218,0.000000,147.60
6,0.709470,0.671321,0.727013,0.630865,,,0,0.00491567,0.00000000,0.028164,0.000000,146.78
7,0.669305,0.669155,0.692435,0.634548,,,0,0.00486865,0.00000000,0.027234,0.000000,145.75
8,0.633167,0.675327,0.660556,0.638620,,,0,0.00481160,0.00000000,0.026402,0.000000,149.28
9,0.599752,0.683031,0.632544,0.646956,,,0,0.00474476,0.00000000,0.025592,0.000000,148.17
10,0.569769,0.691535,0.608112,0.655390,,,0,0.00466841,0.00000000,0.024920,0.000000,149.85
11,0.543479,0.701078,0.586822,0.660430,,,0,0.00458289,0.00000000,0.024179,0.000000,145.89
12,0.520804,0.709450,0.571312,0.666537,,,0,0.00448855,0.00000000,0.023590,0.000000,149.17
13,0.501356,0.717658,0.556117,0.671481,,,0,0.00438580,0.00000000,0.023047,0.000000,145.88
14,0.484651,0.725308,0.543535,0.673517,,,0,0.00427509,0.00000000,0.022573,0.000000,146.32
15,0.470010,0.732213,0.533946,0.677685,,,0,0.00415688,0.00000000,0.022177,0.000000,143.39
16,0.457464,0.738222,0.525853,0.680690,,,0,0.00403168,0.00000000,0.021666,0.000000,146.46
17,0.446344,0.743956,0.519139,0.684374,,,0,0.00390004,0.00000000,0.021369,0.000000,147.11
18,0.436488,0.748761,0.513396,0.683404,,,0,0.00376250,0.00000000,0.021034,0.000000,145.94
19,0.427763,0.753751,0.507865,0.684374,,,0,0.00361966,0.00000000,0.020782,0.000000,146.92
20,0.420031,0.757855,0.502382,0.688542,,,0,0.00347214,0.00000000,0.020465,0.000000,148.25
21,0.412943,0.761609,0.498680,0.688736,,,0,0.00332056,0.00000000,nan,0.000000,149.89
22,0.406458,0.764837,0.495430,0.689705,,,0,0.00316558,0.00000000,0.019997,0.000000,146.98
23,0.400811,0.768153,0.492659,0.691741,,,0,0.00300785,0.00000000,0.019771,0.000000,148.13
24,0.395603,0.771743,0.489503,0.691450,,,0,0.00284805,0.00000000,nan,0.000000,146.83
25,0.390845,0.773932,0.486675,0.693292,,,0,0.00268687,0.00000000,0.019425,0.000000,146.21
26,0.386460,0.776328,0.484723,0.692710,,,0,0.00252500,0.00000000,0.019250,0.000000,148.51
27,0.382517,0.778714,0.482997,0.694261,,,0,0.00236313,0.00000000,0.019065,0.000000,148.02
28,0.379006,0.780728,0.481026,0.695231,,,0,0.00220195,0.00000000,0.018921,0.000000,147.27
29,0.375675,0.782391,0.479192,0.694843,,,0,0.00204215,0.00000000,0.018830,0.000000,150.99
30,0.372683,0.784744,0.477641,0.694358,,,0,0.00188442,0.00000000,nan,0.000000,146.75
31,0.369942,0.786156,0.476239,0.694649,,,0,0.00172944,0.00000000,0.018516,0.000000,146.67
32,0.367563,0.787480,0.475515,0.696103,,,0,0.00157786,0.00000000,0.018458,0.000000,146.74
33,0.365348,0.788979,0.474254,0.694164,,,0,0.00143034,0.00000000,0.018381,0.000000,147.82
34,0.363357,0.789636,0.473370,0.696200,,,0,0.00128750,0.00000000,0.018315,0.000000,147.37
35,0.361548,0.791157,0.472563,0.695812,,,0,0.00114996,0.00000000,0.018221,0.000000,146.43
36,0.359971,0.791978,0.471838,0.696782,,,0,0.00101832,0.00000000,nan,0.000000,149.01
37,0.358521,0.792668,0.471400,0.696976,,,0,0.00089312,0.00000000,0.018050,0.000000,147.33
38,0.357315,0.793445,0.470869,0.697751,,,0,0.00077491,0.00000000,0.018023,0.000000,149.59
39,0.356184,0.794200,0.470519,0.696685,,,0,0.00066420,0.00000000,0.017944,0.000000,148.63
40,0.355239,0.795010,0.470053,0.697073,,,0,0.00056145,0.00000000,0.017887,0.000000,146.11
41,0.354441,0.795294,0.469703,0.697460,,,0,0.00046711,0.00000000,nan,0.000000,147.11
42,0.353745,0.795557,0.469564,0.696200,,,0,0.00038159,0.00000000,0.017847,0.000000,147.35
43,0.353161,0.795984,0.469367,0.697363,,,0,0.00030524,0.00000000,0.017768,0.000000,146.46
44,0.352678,0.796235,0.469207,0.697460,,,0,0.00023840,0.00000000,nan,0.000000,146.28
45,0.352275,0.796509,0.469110,0.697654,,,0,0.00018135,0.00000000,0.017747,0.000000,144.92
46,0.351957,0.796826,0.469019,0.697557,,,0,0.00013433,0.00000000,0.017729,0.000000,145.98
47,0.351720,0.796903,0.468980,0.697654,,,0,0.00009756,0.00000000,nan,0.000000,148.32
48,0.351537,0.797023,0.468925,0.697751,,,0,0.00007117,0.00000000,0.017704,0.000000,146.91
